Area,Item,Crop_Values,Element,Year,Continent,Flag Description
Austria,Cucumbers and gherkins,1903.0,Area harvested,1972,Europe,Official figure
Austria,Cucumbers and gherkins,23788.8,Yield,1972,Europe,Official figure
Austria,Cucumbers and gherkins,45270.0,Production,1972,Europe,Official figure
Austria,Cucumbers and gherkins,1991.0,Area harvested,1973,Europe,Official figure
Austria,Cucumbers and gherkins,22005.0,Yield,1973,Europe,Official figure
Austria,Cucumbers and gherkins,43812.0,Production,1973,Europe,Official figure
Austria,Cucumbers and gherkins,1946.0,Area harvested,1974,Europe,Official figure
Austria,Cucumbers and gherkins,19974.3,Yield,1974,Europe,Official figure
Austria,Cucumbers and gherkins,38870.0,Production,1974,Europe,Official figure
Austria,Cucumbers and gherkins,1950.0,Area harvested,1975,Europe,Official figure
Austria,Cucumbers and gherkins,21951.8,Yield,1975,Europe,Official figure
Austria,Cucumbers and gherkins,42806.0,Production,1975,Europe,Official figure
Austria,Cucumbers and gherkins,1875.0,Area harvested,1976,Europe,Official figure
Austria,Cucumbers and gherkins,16506.7,Yield,1976,Europe,Official figure
Austria,Cucumbers and gherkins,30950.0,Production,1976,Europe,Official figure
Austria,Cucumbers and gherkins,2164.0,Area harvested,1977,Europe,Official figure
Austria,Cucumbers and gherkins,26603.0,Yield,1977,Europe,Official figure
Austria,Cucumbers and gherkins,57569.0,Production,1977,Europe,Official figure
Austria,Cucumbers and gherkins,1832.0,Area harvested,1978,Europe,Official figure
Austria,Cucumbers and gherkins,18519.1,Yield,1978,Europe,Official figure
Austria,Cucumbers and gherkins,33927.0,Production,1978,Europe,Official figure
Austria,Cucumbers and gherkins,1897.0,Area harvested,1979,Europe,Official figure
Austria,Cucumbers and gherkins,22833.9,Yield,1979,Europe,Official figure
Austria,Cucumbers and gherkins,43316.0,Production,1979,Europe,Official figure
Austria,Cucumbers and gherkins,1735.0,Area harvested,1980,Europe,Official figure
Austria,Cucumbers and gherkins,24014.4,Yield,1980,Europe,Official figure
Austria,Cucumbers and gherkins,41665.0,Production,1980,Europe,Official figure
Austria,Cucumbers and gherkins,1508.0,Area harvested,1981,Europe,Official figure
Austria,Cucumbers and gherkins,25458.9,Yield,1981,Europe,Official figure
Austria,Cucumbers and gherkins,38392.0,Production,1981,Europe,Official figure
Austria,Cucumbers and gherkins,1322.0,Area harvested,1982,Europe,Official figure
Austria,Cucumbers and gherkins,27601.4,Yield,1982,Europe,Official figure
Austria,Cucumbers and gherkins,36489.0,Production,1982,Europe,Official figure
Austria,Cucumbers and gherkins,570.0,Area harvested,1983,Europe,Official figure
Austria,Cucumbers and gherkins,21771.9,Yield,1983,Europe,Official figure
Austria,Cucumbers and gherkins,12410.0,Production,1983,Europe,Official figure
Austria,Cucumbers and gherkins,804.0,Area harvested,1984,Europe,Official figure
Austria,Cucumbers and gherkins,24527.4,Yield,1984,Europe,Official figure
Austria,Cucumbers and gherkins,19720.0,Production,1984,Europe,Official figure
Austria,Cucumbers and gherkins,868.0,Area harvested,1985,Europe,Official figure
Austria,Cucumbers and gherkins,25388.2,Yield,1985,Europe,Official figure
Austria,Cucumbers and gherkins,22037.0,Production,1985,Europe,Official figure
Austria,Cucumbers and gherkins,945.0,Area harvested,1986,Europe,Official figure
Austria,Cucumbers and gherkins,28811.6,Yield,1986,Europe,Official figure
Austria,Cucumbers and gherkins,27227.0,Production,1986,Europe,Official figure
Austria,Cucumbers and gherkins,875.0,Area harvested,1987,Europe,Official figure
Austria,Cucumbers and gherkins,29830.9,Yield,1987,Europe,Official figure
Austria,Cucumbers and gherkins,26102.0,Production,1987,Europe,Official figure
Austria,Cucumbers and gherkins,805.0,Area harvested,1988,Europe,Official figure
Austria,Cucumbers and gherkins,31019.9,Yield,1988,Europe,Official figure
Austria,Cucumbers and gherkins,24971.0,Production,1988,Europe,Official figure
Austria,Cucumbers and gherkins,748.0,Area harvested,1989,Europe,Official figure
Austria,Cucumbers and gherkins,26148.4,Yield,1989,Europe,Official figure
Austria,Cucumbers and gherkins,19559.0,Production,1989,Europe,Official figure
Austria,Cucumbers and gherkins,711.0,Area harvested,1990,Europe,Official figure
Austria,Cucumbers and gherkins,32737.0,Yield,1990,Europe,Official figure
Austria,Cucumbers and gherkins,23276.0,Production,1990,Europe,Official figure
Austria,Cucumbers and gherkins,699.0,Area harvested,1991,Europe,Official figure
Austria,Cucumbers and gherkins,34801.1,Yield,1991,Europe,Official figure
Austria,Cucumbers and gherkins,24326.0,Production,1991,Europe,Official figure
Austria,Cucumbers and gherkins,714.0,Area harvested,1992,Europe,Official figure
Austria,Cucumbers and gherkins,30640.1,Yield,1992,Europe,Official figure
Austria,Cucumbers and gherkins,21877.0,Production,1992,Europe,Official figure
Austria,Cucumbers and gherkins,632.0,Area harvested,1993,Europe,Official figure
Austria,Cucumbers and gherkins,32485.8,Yield,1993,Europe,Official figure
Austria,Cucumbers and gherkins,20531.0,Production,1993,Europe,Official figure
Austria,Cucumbers and gherkins,597.0,Area harvested,1994,Europe,Official figure
Austria,Cucumbers and gherkins,32470.3,Yield,1994,Europe,Official figure
Austria,Cucumbers and gherkins,19384.75,Production,1994,Europe,Official figure
Austria,Cucumbers and gherkins,656.0,Area harvested,1995,Europe,Official figure
Austria,Cucumbers and gherkins,56025.9,Yield,1995,Europe,Official figure
Austria,Cucumbers and gherkins,36753.0,Production,1995,Europe,Official figure
Austria,Cucumbers and gherkins,596.0,Area harvested,1996,Europe,Official figure
Austria,Cucumbers and gherkins,59719.8,Yield,1996,Europe,Official figure
Austria,Cucumbers and gherkins,35593.0,Production,1996,Europe,Official figure
Austria,Cucumbers and gherkins,571.0,Area harvested,1997,Europe,Official figure
Austria,Cucumbers and gherkins,69779.3,Yield,1997,Europe,Official figure
Austria,Cucumbers and gherkins,39844.0,Production,1997,Europe,Official figure
Austria,Cucumbers and gherkins,482.0,Area harvested,1998,Europe,Official figure
Austria,Cucumbers and gherkins,69309.8,Yield,1998,Europe,Official figure
Austria,Cucumbers and gherkins,33407.33,Production,1998,Europe,Official figure
Austria,Cucumbers and gherkins,559.0,Area harvested,1999,Europe,Official figure
Austria,Cucumbers and gherkins,79636.9,Yield,1999,Europe,Official figure
Austria,Cucumbers and gherkins,44517.0,Production,1999,Europe,Official figure
Austria,Cucumbers and gherkins,575.0,Area harvested,2000,Europe,Official figure
Austria,Cucumbers and gherkins,74499.1,Yield,2000,Europe,Official figure
Austria,Cucumbers and gherkins,42837.0,Production,2000,Europe,Official figure
Austria,Cucumbers and gherkins,579.0,Area harvested,2001,Europe,Official figure
Austria,Cucumbers and gherkins,75578.6,Yield,2001,Europe,Official figure
Austria,Cucumbers and gherkins,43760.0,Production,2001,Europe,Official figure
Austria,Cucumbers and gherkins,558.0,Area harvested,2002,Europe,Official figure
Austria,Cucumbers and gherkins,76969.5,Yield,2002,Europe,Official figure
Austria,Cucumbers and gherkins,42949.0,Production,2002,Europe,Official figure
Austria,Cucumbers and gherkins,554.0,Area harvested,2003,Europe,Official figure
Austria,Cucumbers and gherkins,77893.5,Yield,2003,Europe,Official figure
Austria,Cucumbers and gherkins,43153.0,Production,2003,Europe,Official figure
Austria,Cucumbers and gherkins,492.0,Area harvested,2004,Europe,Official figure
Austria,Cucumbers and gherkins,84552.8,Yield,2004,Europe,Official figure
Austria,Cucumbers and gherkins,41600.0,Production,2004,Europe,Official figure
Austria,Cucumbers and gherkins,427.0,Area harvested,2005,Europe,Official figure
Austria,Cucumbers and gherkins,89449.6,Yield,2005,Europe,Official figure
Austria,Cucumbers and gherkins,38195.0,Production,2005,Europe,Official figure
Austria,Cucumbers and gherkins,408.0,Area harvested,2006,Europe,Official figure
Austria,Cucumbers and gherkins,87370.1,Yield,2006,Europe,Official figure
Austria,Cucumbers and gherkins,35647.0,Production,2006,Europe,Official figure
Austria,Cucumbers and gherkins,405.0,Area harvested,2007,Europe,Official figure
Austria,Cucumbers and gherkins,95607.4,Yield,2007,Europe,Official figure
Austria,Cucumbers and gherkins,38721.0,Production,2007,Europe,Official figure
Austria,Cucumbers and gherkins,365.0,Area harvested,2008,Europe,Official figure
Austria,Cucumbers and gherkins,100660.3,Yield,2008,Europe,Official figure
Austria,Cucumbers and gherkins,36741.0,Production,2008,Europe,Official figure
Austria,Cucumbers and gherkins,426.0,Area harvested,2009,Europe,Official figure
Austria,Cucumbers and gherkins,97497.7,Yield,2009,Europe,Official figure
Austria,Cucumbers and gherkins,41534.0,Production,2009,Europe,Official figure
Austria,Cucumbers and gherkins,411.0,Area harvested,2010,Europe,Official figure
Austria,Cucumbers and gherkins,99608.3,Yield,2010,Europe,Official figure
Austria,Cucumbers and gherkins,40939.0,Production,2010,Europe,Official figure
Austria,Cucumbers and gherkins,396.0,Area harvested,2011,Europe,Official figure
Austria,Cucumbers and gherkins,114628.8,Yield,2011,Europe,Official figure
Austria,Cucumbers and gherkins,45393.0,Production,2011,Europe,Official figure
Austria,Cucumbers and gherkins,408.0,Area harvested,2012,Europe,Official figure
Austria,Cucumbers and gherkins,113904.4,Yield,2012,Europe,Official figure
Austria,Cucumbers and gherkins,46473.0,Production,2012,Europe,Official figure
Austria,Cucumbers and gherkins,367.0,Area harvested,2013,Europe,Official figure
Austria,Cucumbers and gherkins,116442.1,Yield,2013,Europe,Official figure
Austria,Cucumbers and gherkins,42693.5,Production,2013,Europe,Official figure
Austria,Cucumbers and gherkins,397.0,Area harvested,2014,Europe,Official figure
Austria,Cucumbers and gherkins,114842.3,Yield,2014,Europe,Official figure
Austria,Cucumbers and gherkins,45537.0,Production,2014,Europe,Official figure
Austria,Cucumbers and gherkins,402.0,Area harvested,2015,Europe,Official figure
Austria,Cucumbers and gherkins,108652.1,Yield,2015,Europe,Official figure
Austria,Cucumbers and gherkins,43645.56,Production,2015,Europe,Official figure
Austria,Cucumbers and gherkins,373.0,Area harvested,2016,Europe,Official figure
Austria,Cucumbers and gherkins,127093.8,Yield,2016,Europe,Official figure
Austria,Cucumbers and gherkins,47450.46,Production,2016,Europe,Official figure
Austria,Cucumbers and gherkins,362.0,Area harvested,2017,Europe,Official figure
Austria,Cucumbers and gherkins,128676.8,Yield,2017,Europe,Official figure
Austria,Cucumbers and gherkins,46581.0,Production,2017,Europe,Official figure
Austria,Cucumbers and gherkins,340.0,Area harvested,2018,Europe,Official figure
Austria,Cucumbers and gherkins,131911.8,Yield,2018,Europe,Official figure
Austria,Cucumbers and gherkins,44850.0,Production,2018,Europe,Official figure
Austria,Cucumbers and gherkins,360.0,Area harvested,2019,Europe,Official figure
Austria,Cucumbers and gherkins,125750.0,Yield,2019,Europe,Official figure
Austria,Cucumbers and gherkins,45270.0,Production,2019,Europe,Official figure
Austria,Cucumbers and gherkins,370.0,Area harvested,2020,Europe,Official figure
Austria,Cucumbers and gherkins,125216.2,Yield,2020,Europe,Official figure
Austria,Cucumbers and gherkins,46330.0,Production,2020,Europe,Official figure
Austria,Cucumbers and gherkins,360.0,Area harvested,2021,Europe,Official figure
Austria,Cucumbers and gherkins,132611.1,Yield,2021,Europe,Official figure
Austria,Cucumbers and gherkins,47740.0,Production,2021,Europe,Official figure
Austria,Cucumbers and gherkins,340.0,Area harvested,2022,Europe,Official figure
Austria,Cucumbers and gherkins,129735.3,Yield,2022,Europe,Official figure
Austria,Cucumbers and gherkins,44110.0,Production,2022,Europe,Official figure
Austria,Cucumbers and gherkins,340.0,Area harvested,2023,Europe,Official figure
Austria,Cucumbers and gherkins,127735.3,Yield,2023,Europe,Official figure
Austria,Cucumbers and gherkins,43430.0,Production,2023,Europe,Official figure
Belarus,Apples,71000.0,Area harvested,1992,Europe,Figure from international organizations
Belarus,Apples,5028.2,Yield,1992,Europe,Figure from international organizations
Belarus,Apples,357000.0,Production,1992,Europe,Figure from international organizations
Belarus,Apples,59500.0,Area harvested,1993,Europe,Figure from international organizations
Belarus,Apples,10764.7,Yield,1993,Europe,Figure from international organizations
Belarus,Apples,640500.0,Production,1993,Europe,Figure from international organizations
Belarus,Apples,70500.0,Area harvested,1994,Europe,Figure from international organizations
Belarus,Apples,3978.7,Yield,1994,Europe,Figure from international organizations
Belarus,Apples,280500.0,Production,1994,Europe,Figure from international organizations
Belarus,Apples,84100.0,Area harvested,1995,Europe,Figure from international organizations
Belarus,Apples,3072.5,Yield,1995,Europe,Figure from international organizations
Belarus,Apples,258400.0,Production,1995,Europe,Figure from international organizations
Belarus,Apples,69900.0,Area harvested,1996,Europe,Figure from international organizations
Belarus,Apples,4284.7,Yield,1996,Europe,Figure from international organizations
Belarus,Apples,299500.0,Production,1996,Europe,Figure from international organizations
Belarus,Apples,86600.0,Area harvested,1997,Europe,Figure from international organizations
Belarus,Apples,2794.5,Yield,1997,Europe,Figure from international organizations
Belarus,Apples,242000.0,Production,1997,Europe,Figure from international organizations
Belarus,Apples,65600.0,Area harvested,1998,Europe,Figure from international organizations
Belarus,Apples,2030.5,Yield,1998,Europe,Figure from international organizations
Belarus,Apples,133200.0,Production,1998,Europe,Figure from international organizations
Belarus,Apples,65100.0,Area harvested,1999,Europe,Figure from international organizations
Belarus,Apples,2043.0,Yield,1999,Europe,Figure from international organizations
Belarus,Apples,133000.0,Production,1999,Europe,Figure from international organizations
Belarus,Apples,64600.0,Area harvested,2000,Europe,Figure from international organizations
Belarus,Apples,3297.2,Yield,2000,Europe,Figure from international organizations
Belarus,Apples,213000.0,Production,2000,Europe,Figure from international organizations
Belarus,Apples,65300.0,Area harvested,2001,Europe,Figure from international organizations
Belarus,Apples,3294.0,Yield,2001,Europe,Figure from international organizations
Belarus,Apples,215100.0,Production,2001,Europe,Figure from international organizations
Belarus,Apples,65200.0,Area harvested,2002,Europe,Figure from international organizations
Belarus,Apples,5015.3,Yield,2002,Europe,Figure from international organizations
Belarus,Apples,327000.0,Production,2002,Europe,Figure from international organizations
Belarus,Apples,67400.0,Area harvested,2003,Europe,Figure from international organizations
Belarus,Apples,2025.2,Yield,2003,Europe,Figure from international organizations
Belarus,Apples,136500.0,Production,2003,Europe,Figure from international organizations
Belarus,Apples,62500.0,Area harvested,2004,Europe,Official figure
Belarus,Apples,3707.2,Yield,2004,Europe,Official figure
Belarus,Apples,231700.0,Production,2004,Europe,Official figure
Belarus,Apples,64816.0,Area harvested,2005,Europe,Official figure
Belarus,Apples,3589.5,Yield,2005,Europe,Official figure
Belarus,Apples,232656.0,Production,2005,Europe,Official figure
Belarus,Apples,64857.0,Area harvested,2006,Europe,Official figure
Belarus,Apples,7536.3,Yield,2006,Europe,Official figure
Belarus,Apples,488785.0,Production,2006,Europe,Official figure
Belarus,Apples,63600.0,Area harvested,2007,Europe,Official figure
Belarus,Apples,4134.1,Yield,2007,Europe,Official figure
Belarus,Apples,262928.0,Production,2007,Europe,Official figure
Belarus,Apples,63836.0,Area harvested,2008,Europe,Official figure
Belarus,Apples,5949.8,Yield,2008,Europe,Official figure
Belarus,Apples,379809.0,Production,2008,Europe,Official figure
Belarus,Apples,62900.0,Area harvested,2009,Europe,Official figure
Belarus,Apples,6861.3,Yield,2009,Europe,Official figure
Belarus,Apples,431573.0,Production,2009,Europe,Official figure
Belarus,Apples,62011.0,Area harvested,2010,Europe,Official figure
Belarus,Apples,8475.1,Yield,2010,Europe,Official figure
Belarus,Apples,525552.0,Production,2010,Europe,Official figure
Belarus,Apples,60102.0,Area harvested,2011,Europe,Official figure
Belarus,Apples,3175.1,Yield,2011,Europe,Official figure
Belarus,Apples,190829.0,Production,2011,Europe,Official figure
Belarus,Apples,58391.0,Area harvested,2012,Europe,Official figure
Belarus,Apples,8759.4,Yield,2012,Europe,Official figure
Belarus,Apples,511471.0,Production,2012,Europe,Official figure
Belarus,Apples,57572.0,Area harvested,2013,Europe,Official figure
Belarus,Apples,5410.5,Yield,2013,Europe,Official figure
Belarus,Apples,311495.0,Production,2013,Europe,Official figure
Belarus,Apples,57323.0,Area harvested,2014,Europe,Official figure
Belarus,Apples,8943.0,Yield,2014,Europe,Official figure
Belarus,Apples,512641.0,Production,2014,Europe,Official figure
Belarus,Apples,54411.0,Area harvested,2015,Europe,Official figure
Belarus,Apples,6521.1,Yield,2015,Europe,Official figure
Belarus,Apples,354817.0,Production,2015,Europe,Official figure
Belarus,Apples,52797.0,Area harvested,2016,Europe,Official figure
Belarus,Apples,9637.2,Yield,2016,Europe,Official figure
Belarus,Apples,508816.0,Production,2016,Europe,Official figure
Belarus,Apples,51752.0,Area harvested,2017,Europe,Official figure
Belarus,Apples,6126.9,Yield,2017,Europe,Official figure
Belarus,Apples,317078.0,Production,2017,Europe,Official figure
Belarus,Apples,52764.0,Area harvested,2018,Europe,Official figure
Belarus,Apples,13270.4,Yield,2018,Europe,Official figure
Belarus,Apples,700198.0,Production,2018,Europe,Official figure
Belarus,Apples,51537.0,Area harvested,2019,Europe,Official figure
Belarus,Apples,6533.1,Yield,2019,Europe,Official figure
Belarus,Apples,336697.0,Production,2019,Europe,Official figure
Belarus,Apples,49850.0,Area harvested,2020,Europe,Official figure
Belarus,Apples,10685.2,Yield,2020,Europe,Official figure
Belarus,Apples,532655.0,Production,2020,Europe,Official figure
Belarus,Apples,35190.0,Area harvested,2021,Europe,Imputed value
Belarus,Apples,9568.1,Yield,2021,Europe,Estimated value
Belarus,Apples,336700.0,Production,2021,Europe,Figure from international organizations
Belarus,Apples,35620.0,Area harvested,2022,Europe,Imputed value
Belarus,Apples,9452.5,Yield,2022,Europe,Estimated value
Belarus,Apples,336700.0,Production,2022,Europe,Figure from international organizations
Belarus,Apples,34218.0,Area harvested,2023,Europe,Imputed value
Belarus,Apples,9839.9,Yield,2023,Europe,Estimated value
Belarus,Apples,336700.0,Production,2023,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,13000.0,Area harvested,1992,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,6230.8,Yield,1992,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,81000.0,Production,1992,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,13000.0,Area harvested,1993,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,8769.2,Yield,1993,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,114000.0,Production,1993,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,15000.0,Area harvested,1994,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,8266.7,Yield,1994,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,124000.0,Production,1994,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,15800.0,Area harvested,1995,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,7594.9,Yield,1995,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,120000.0,Production,1995,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,16500.0,Area harvested,1996,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,8484.8,Yield,1996,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,140000.0,Production,1996,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,16000.0,Area harvested,1997,Europe,Official figure
Belarus,Cucumbers and gherkins,10768.8,Yield,1997,Europe,Official figure
Belarus,Cucumbers and gherkins,172300.0,Production,1997,Europe,Official figure
Belarus,Cucumbers and gherkins,16000.0,Area harvested,1998,Europe,Official figure
Belarus,Cucumbers and gherkins,9031.3,Yield,1998,Europe,Official figure
Belarus,Cucumbers and gherkins,144500.0,Production,1998,Europe,Official figure
Belarus,Cucumbers and gherkins,10600.0,Area harvested,1999,Europe,Official figure
Belarus,Cucumbers and gherkins,16839.6,Yield,1999,Europe,Official figure
Belarus,Cucumbers and gherkins,178500.0,Production,1999,Europe,Official figure
Belarus,Cucumbers and gherkins,11000.0,Area harvested,2000,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,14363.6,Yield,2000,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,158000.0,Production,2000,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,10000.0,Area harvested,2001,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,15000.0,Yield,2001,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,150000.0,Production,2001,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,10000.0,Area harvested,2002,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,17900.0,Yield,2002,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,179000.0,Production,2002,Europe,Figure from international organizations
Belarus,Cucumbers and gherkins,9521.0,Area harvested,2003,Europe,Official figure
Belarus,Cucumbers and gherkins,26783.1,Yield,2003,Europe,Official figure
Belarus,Cucumbers and gherkins,255002.0,Production,2003,Europe,Official figure
Belarus,Cucumbers and gherkins,8644.0,Area harvested,2004,Europe,Official figure
Belarus,Cucumbers and gherkins,30765.7,Yield,2004,Europe,Official figure
Belarus,Cucumbers and gherkins,265939.0,Production,2004,Europe,Official figure
Belarus,Cucumbers and gherkins,8665.0,Area harvested,2005,Europe,Official figure
Belarus,Cucumbers and gherkins,33109.1,Yield,2005,Europe,Official figure
Belarus,Cucumbers and gherkins,286890.0,Production,2005,Europe,Official figure
Belarus,Cucumbers and gherkins,8456.0,Area harvested,2006,Europe,Official figure
Belarus,Cucumbers and gherkins,37254.8,Yield,2006,Europe,Official figure
Belarus,Cucumbers and gherkins,315027.0,Production,2006,Europe,Official figure
Belarus,Cucumbers and gherkins,8249.0,Area harvested,2007,Europe,Official figure
Belarus,Cucumbers and gherkins,36216.1,Yield,2007,Europe,Official figure
Belarus,Cucumbers and gherkins,298747.0,Production,2007,Europe,Official figure
Belarus,Cucumbers and gherkins,8003.0,Area harvested,2008,Europe,Official figure
Belarus,Cucumbers and gherkins,38258.5,Yield,2008,Europe,Official figure
Belarus,Cucumbers and gherkins,306183.0,Production,2008,Europe,Official figure
Belarus,Cucumbers and gherkins,7931.0,Area harvested,2009,Europe,Official figure
Belarus,Cucumbers and gherkins,40118.4,Yield,2009,Europe,Official figure
Belarus,Cucumbers and gherkins,318179.0,Production,2009,Europe,Official figure
Belarus,Cucumbers and gherkins,7686.0,Area harvested,2010,Europe,Official figure
Belarus,Cucumbers and gherkins,42297.7,Yield,2010,Europe,Official figure
Belarus,Cucumbers and gherkins,325100.0,Production,2010,Europe,Official figure
Belarus,Cucumbers and gherkins,6752.0,Area harvested,2011,Europe,Official figure
Belarus,Cucumbers and gherkins,37076.4,Yield,2011,Europe,Official figure
Belarus,Cucumbers and gherkins,250340.0,Production,2011,Europe,Official figure
Belarus,Cucumbers and gherkins,6163.0,Area harvested,2012,Europe,Official figure
Belarus,Cucumbers and gherkins,38754.3,Yield,2012,Europe,Official figure
Belarus,Cucumbers and gherkins,238843.0,Production,2012,Europe,Official figure
Belarus,Cucumbers and gherkins,5375.0,Area harvested,2013,Europe,Official figure
Belarus,Cucumbers and gherkins,40834.0,Yield,2013,Europe,Official figure
Belarus,Cucumbers and gherkins,219483.0,Production,2013,Europe,Official figure
Belarus,Cucumbers and gherkins,5637.0,Area harvested,2014,Europe,Official figure
Belarus,Cucumbers and gherkins,36384.2,Yield,2014,Europe,Official figure
Belarus,Cucumbers and gherkins,205098.0,Production,2014,Europe,Official figure
Belarus,Cucumbers and gherkins,6100.0,Area harvested,2015,Europe,Official figure
Belarus,Cucumbers and gherkins,37169.3,Yield,2015,Europe,Official figure
Belarus,Cucumbers and gherkins,226733.0,Production,2015,Europe,Official figure
Belarus,Cucumbers and gherkins,6022.0,Area harvested,2016,Europe,Official figure
Belarus,Cucumbers and gherkins,41296.9,Yield,2016,Europe,Official figure
Belarus,Cucumbers and gherkins,248690.0,Production,2016,Europe,Official figure
Belarus,Cucumbers and gherkins,5789.0,Area harvested,2017,Europe,Official figure
Belarus,Cucumbers and gherkins,40873.7,Yield,2017,Europe,Official figure
Belarus,Cucumbers and gherkins,236618.0,Production,2017,Europe,Official figure
Belarus,Cucumbers and gherkins,5977.0,Area harvested,2018,Europe,Official figure
Belarus,Cucumbers and gherkins,37885.7,Yield,2018,Europe,Official figure
Belarus,Cucumbers and gherkins,226443.0,Production,2018,Europe,Official figure
Belarus,Cucumbers and gherkins,5658.0,Area harvested,2019,Europe,Official figure
Belarus,Cucumbers and gherkins,40790.6,Yield,2019,Europe,Official figure
Belarus,Cucumbers and gherkins,230793.0,Production,2019,Europe,Official figure
Belarus,Cucumbers and gherkins,5467.0,Area harvested,2020,Europe,Official figure
Belarus,Cucumbers and gherkins,39689.4,Yield,2020,Europe,Official figure
Belarus,Cucumbers and gherkins,216982.0,Production,2020,Europe,Official figure
Belarus,Cucumbers and gherkins,5341.0,Area harvested,2021,Europe,Imputed value
Belarus,Cucumbers and gherkins,39724.4,Yield,2021,Europe,Estimated value
Belarus,Cucumbers and gherkins,212156.84,Production,2021,Europe,Imputed value
Belarus,Cucumbers and gherkins,5615.0,Area harvested,2022,Europe,Imputed value
Belarus,Cucumbers and gherkins,40548.5,Yield,2022,Europe,Estimated value
Belarus,Cucumbers and gherkins,227694.86,Production,2022,Europe,Imputed value
Belarus,Cucumbers and gherkins,5589.0,Area harvested,2023,Europe,Imputed value
Belarus,Cucumbers and gherkins,40573.2,Yield,2023,Europe,Estimated value
Belarus,Cucumbers and gherkins,226753.31,Production,2023,Europe,Imputed value
Belarus,"Hazelnuts, in shell",800.0,Area harvested,1992,Europe,Estimated value
